generation,name,pokemon_number,image_url,pokemon_url,type,description,source_url
1,Bulbasaur,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/1.gif,https://www.phygitals.com/pokemon/1,,,https://www.phygitals.com/pokemon/generation/1
1,Ivysaur,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/2.gif,https://www.phygitals.com/pokemon/2,,,https://www.phygitals.com/pokemon/generation/1
1,Venusaur,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/3.gif,https://www.phygitals.com/pokemon/3,,,https://www.phygitals.com/pokemon/generation/1
1,Charmander,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/4.gif,https://www.phygitals.com/pokemon/4,,,https://www.phygitals.com/pokemon/generation/1
1,Charmeleon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/5.gif,https://www.phygitals.com/pokemon/5,,,https://www.phygitals.com/pokemon/generation/1
1,Charizard,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/6.gif,https://www.phygitals.com/pokemon/6,,,https://www.phygitals.com/pokemon/generation/1
1,Squirtle,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/7.gif,https://www.phygitals.com/pokemon/7,,,https://www.phygitals.com/pokemon/generation/1
1,Wartortle,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/8.gif,https://www.phygitals.com/pokemon/8,,,https://www.phygitals.com/pokemon/generation/1
1,Blastoise,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/9.gif,https://www.phygitals.com/pokemon/9,,,https://www.phygitals.com/pokemon/generation/1
1,Caterpie,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/10.gif,https://www.phygitals.com/pokemon/10,,,https://www.phygitals.com/pokemon/generation/1
1,Metapod,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/11.gif,https://www.phygitals.com/pokemon/11,,,https://www.phygitals.com/pokemon/generation/1
1,Butterfree,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/12.gif,https://www.phygitals.com/pokemon/12,,,https://www.phygitals.com/pokemon/generation/1
1,Weedle,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/13.gif,https://www.phygitals.com/pokemon/13,,,https://www.phygitals.com/pokemon/generation/1
1,Kakuna,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/14.gif,https://www.phygitals.com/pokemon/14,,,https://www.phygitals.com/pokemon/generation/1
1,Beedrill,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/15.gif,https://www.phygitals.com/pokemon/15,,,https://www.phygitals.com/pokemon/generation/1
1,Pidgey,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/16.gif,https://www.phygitals.com/pokemon/16,,,https://www.phygitals.com/pokemon/generation/1
1,Pidgeotto,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/17.gif,https://www.phygitals.com/pokemon/17,,,https://www.phygitals.com/pokemon/generation/1
1,Pidgeot,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/18.gif,https://www.phygitals.com/pokemon/18,,,https://www.phygitals.com/pokemon/generation/1
1,Rattata,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/19.gif,https://www.phygitals.com/pokemon/19,,,https://www.phygitals.com/pokemon/generation/1
1,Raticate,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/20.gif,https://www.phygitals.com/pokemon/20,,,https://www.phygitals.com/pokemon/generation/1
1,Spearow,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/21.gif,https://www.phygitals.com/pokemon/21,,,https://www.phygitals.com/pokemon/generation/1
1,Fearow,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/22.gif,https://www.phygitals.com/pokemon/22,,,https://www.phygitals.com/pokemon/generation/1
1,Ekans,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/23.gif,https://www.phygitals.com/pokemon/23,,,https://www.phygitals.com/pokemon/generation/1
1,Arbok,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/24.gif,https://www.phygitals.com/pokemon/24,,,https://www.phygitals.com/pokemon/generation/1
1,Pikachu,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/25.gif,https://www.phygitals.com/pokemon/25,,,https://www.phygitals.com/pokemon/generation/1
1,Raichu,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/26.gif,https://www.phygitals.com/pokemon/26,,,https://www.phygitals.com/pokemon/generation/1
1,Sandshrew,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/27.gif,https://www.phygitals.com/pokemon/27,,,https://www.phygitals.com/pokemon/generation/1
1,Sandslash,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/28.gif,https://www.phygitals.com/pokemon/28,,,https://www.phygitals.com/pokemon/generation/1
1,Nidoran-f,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/29.gif,https://www.phygitals.com/pokemon/29,,,https://www.phygitals.com/pokemon/generation/1
1,Nidorina,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/30.gif,https://www.phygitals.com/pokemon/30,,,https://www.phygitals.com/pokemon/generation/1
1,Nidoqueen,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/31.gif,https://www.phygitals.com/pokemon/31,,,https://www.phygitals.com/pokemon/generation/1
1,Nidoran-m,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/32.gif,https://www.phygitals.com/pokemon/32,,,https://www.phygitals.com/pokemon/generation/1
1,Nidorino,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/33.gif,https://www.phygitals.com/pokemon/33,,,https://www.phygitals.com/pokemon/generation/1
1,Nidoking,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/34.gif,https://www.phygitals.com/pokemon/34,,,https://www.phygitals.com/pokemon/generation/1
