pokemon_name,pokemon_url,generation,listing_name,listing_price,fmv,condition,seller,full_text
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Value,$275,,,,Value$275
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$63.20,$63.20,,,,Market Price$63.20
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$63.20,$63.20,,,,$63.20
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$44.19,$44.19,,,,Market Price$44.19
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$44.19,$44.19,,,,$44.19
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$36.67,$36.67,,,,Market Price$36.67
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$36.67,$36.67,,,,$36.67
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$27.96,$27.96,,,,Market Price$27.96
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$27.96,$27.96,,,,$27.96
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$22.37,$22.37,,,,Market Price$22.37
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$22.37,$22.37,,,,$22.37
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$18.35,$18.35,,,,Market Price$18.35
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$18.35,$18.35,,,,$18.35
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$12.70,$12.70,,,,Market Price$12.70
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$12.70,$12.70,,,,$12.70
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$11.63,$11.63,,,,Market Price$11.63
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$11.63,$11.63,,,,$11.63
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$6.38,$6.38,,,,Market Price$6.38
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$6.38,$6.38,,,,$6.38
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$5.35,$5.35,,,,Market Price$5.35
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$5.35,$5.35,,,,$5.35
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$4.30,$4.30,,,,Market Price$4.30
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$4.30,$4.30,,,,$4.30
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$3.82,$3.82,,,,Market Price$3.82
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$3.82,$3.82,,,,$3.82
Bulbasaur,https://www.phygitals.com/pokemon/1,1,Market Price$2.91,$2.91,,,,Market Price$2.91
Bulbasaur,https://www.phygitals.com/pokemon/1,1,$2.91,$2.91,,,,$2.91
