pokemon_id,pokemon_name,generation,pokemon_url,source_generation_url,full_listing_name,listing_price,fmv,currency,listings_available,floor_price,alt_xyz_sales
1,Bulbasaur,1,https://www.phygitals.com/pokemon/1,https://www.phygitals.com/pokemon/generation/1,Bulbasaur,$275,,USD,,,[]
2,Ivysaur,1,https://www.phygitals.com/pokemon/2,https://www.phygitals.com/pokemon/generation/1,Ivysaur,$178,,USD,,,[]
3,Venusaur,1,https://www.phygitals.com/pokemon/3,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
4,Charmander,1,https://www.phygitals.com/pokemon/4,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
5,Charmeleon,1,https://www.phygitals.com/pokemon/5,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
6,Charizard,1,https://www.phygitals.com/pokemon/6,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
7,Squirtle,1,https://www.phygitals.com/pokemon/7,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
8,Wartortle,1,https://www.phygitals.com/pokemon/8,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
9,Blastoise,1,https://www.phygitals.com/pokemon/9,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
10,Caterpie,1,https://www.phygitals.com/pokemon/10,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
11,Metapod,1,https://www.phygitals.com/pokemon/11,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
12,Butterfree,1,https://www.phygitals.com/pokemon/12,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
13,Weedle,1,https://www.phygitals.com/pokemon/13,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
14,Kakuna,1,https://www.phygitals.com/pokemon/14,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
15,Beedrill,1,https://www.phygitals.com/pokemon/15,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
16,Pidgey,1,https://www.phygitals.com/pokemon/16,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
17,Pidgeotto,1,https://www.phygitals.com/pokemon/17,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
18,Pidgeot,1,https://www.phygitals.com/pokemon/18,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
19,Rattata,1,https://www.phygitals.com/pokemon/19,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
20,Raticate,1,https://www.phygitals.com/pokemon/20,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
21,Spearow,1,https://www.phygitals.com/pokemon/21,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
22,Fearow,1,https://www.phygitals.com/pokemon/22,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
23,Ekans,1,https://www.phygitals.com/pokemon/23,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
24,Arbok,1,https://www.phygitals.com/pokemon/24,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
25,Pikachu,1,https://www.phygitals.com/pokemon/25,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
26,Raichu,1,https://www.phygitals.com/pokemon/26,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
27,Sandshrew,1,https://www.phygitals.com/pokemon/27,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
28,Sandslash,1,https://www.phygitals.com/pokemon/28,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
29,Nidoran-f,1,https://www.phygitals.com/pokemon/29,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
30,Nidorina,1,https://www.phygitals.com/pokemon/30,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
31,Nidoqueen,1,https://www.phygitals.com/pokemon/31,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
32,Nidoran-m,1,https://www.phygitals.com/pokemon/32,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
33,Nidorino,1,https://www.phygitals.com/pokemon/33,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
34,Nidoking,1,https://www.phygitals.com/pokemon/34,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
35,Clefairy,1,https://www.phygitals.com/pokemon/35,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
36,Clefable,1,https://www.phygitals.com/pokemon/36,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
37,Vulpix,1,https://www.phygitals.com/pokemon/37,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
38,Ninetales,1,https://www.phygitals.com/pokemon/38,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
39,Jigglypuff,1,https://www.phygitals.com/pokemon/39,https://www.phygitals.com/pokemon/generation/1,,,,,,,[]
