listing_url,full_listing_name,pokemon_name,grader,grade,current_price,fmv,fmv_source,card_set,card_number,condition,seller
https://www.phygitals.com/card/Ej1FRtZkEAR6XjDcwamuDS4XHKSjyXHKKmkwQwvuKQbj,2007 Pokemon EX Power Keepers Holo Grass Energy #103 CGC 9 MINT,EX Power Keepers Holo Grass Energy,CGC,9,$14.28,$11.94,alt,,103,,
https://www.phygitals.com/card/2025-pokemon-japanese-sv-white-f-ke1gc8,2025 Pokemon Japanese SV White Flare Poke Ball Reverse Holo Samurott #20 CGC 10,Japanese SV White Flare Poke Ball,CGC,10,$14.28,$11.31,alt,,20,,
https://www.phygitals.com/card/2020-pokemon-japanese-swsh-rebel-cv8lyg,2020 Pokemon Japanese SWSH Rebellion Crash Full Art Ninetales V #013 CGC 10,Japanese SWSH Rebellion Crash Full Art,CGC,10,$13.77,$15.58,alt,,013,,
https://www.phygitals.com/card/2fB1qFtsujb4wRqh61Bs6zTHDKYGQpEHbjvU742J354J,2021 Pokemon Japanese SWSH Skyscraping Perfection Full Art Suicune V #1 CGC 10,Japanese SWSH Skyscraping Perfection Full Art,CGC,10,$14.28,$12.94,alt,,1,,
https://www.phygitals.com/card/J7efQUzzjE6YNSjamidYjS1Zo7kFuNBzQ9nxQspdi8E8,2023 Pokemon Japanese Scarlet & Violet 151 Holo Ditto #132 CGC 9 MINT,Japanese Scarlet & Violet 151 Holo,CGC,9,$13.36,$9.57,alt,,132,,
https://www.phygitals.com/card/2022-pokemon-japanese-swsh-battl-diml2y,2022 Pokemon Japanese SWSH Battle Region Holo Garchomp V #054 CGC 10 GEM MINT,Japanese SWSH Battle Region Holo Garchomp,CGC,10,$14.28,$15.20,alt,,054,,
https://www.phygitals.com/card/2023-pokemon-sv-obsidian-flames-8dll4m,2023 Pokemon SV Obsidian Flames Holo Dragonite ex #159 CGC 8.5 NM-MT+,SV Obsidian Flames Holo Dragonite ex,CGC,8.5,$13.26,$7.52,alt,,159,,
https://www.phygitals.com/card/2023-pokemon-japanese-scarlet-t28pi,2023 Pokemon Japanese Scarlet & Violet 151 Holo Venusaur ex #3 CGC 10 GEM MINT,Japanese Scarlet & Violet 151 Holo,CGC,10,$14.28,$10.69,alt,,3,,
https://www.phygitals.com/card/2012-pokemon-japanese-thunder-kn-l2rl9t,2012 Pokemon Japanese Thunder Knuckle 1st Edition Beldum #25 CGC 10 GEM MINT,Japanese Thunder Knuckle 1st Edition Beldum,CGC,10,$13.48,$15.54,alt,,25,,
https://www.phygitals.com/card/2022-pokemon-astral-radiance-h-ssblka,2022 POKEMON ASTRAL RADIANCE - HOLO #017/189 HISUIAN LILLIGANT V CGC 9,ASTRAL RADIANCE - HOLO #017/189 HISUIAN,CGC,9,$13.77,$9.04,alt,,017,,
https://www.phygitals.com/card/2007-pokemon-ex-power-keepers-re-8ghkhi,2007 Pokemon EX Power Keepers Reverse Holo Beldum #45 CGC 8 NM-MT,EX Power Keepers Reverse Holo Beldum,CGC,8,$14.28,$11.69,alt,,45,,
https://www.phygitals.com/card/2023-pokemon-japanese-sv-151-pok-24ejg4,2023 Pokemon Japanese SV 151 Poke Ball Reverse Holo Dragonite #149 CGC 10 GEM,Japanese SV 151 Poke Ball Reverse,CGC,10,$14.28,$16.95,alt,,149,,
https://www.phygitals.com/card/43Z9QRDc513hgd5a9GzJEaaADnSvcmbJynDPgDVkraxa,2025 Pokemon Japanese Mega Brave Mega Venusaur EX #3 CGC 10 GEM MINT,Japanese Mega Brave Mega Venusaur EX,CGC,10,$14.28,$10.99,alt,,3,,
https://www.phygitals.com/card/2023-pokemon-japanese-scarlet-11ub0x,2023 Pokemon Japanese Scarlet & Violet Snow Hazard AR Eiscue #74 CGC 10 GEM MINT,Japanese Scarlet & Violet Snow Hazard,CGC,10,$13.55,$13.94,alt,,74,,
https://www.phygitals.com/card/2025-pokemon-chinese-sv-fearless-700e1q,2025 Pokemon Chinese SV Fearless Terastal AR Sandygast CGC 10 GEM MINT,Chinese SV Fearless Terastal AR Sandygast,CGC,10,$14.28,$10.51,alt,,,,
https://www.phygitals.com/card/2024-pokemon-scr-en-stellar-crow-g2tcxk,2024 POKEMON SCR EN-STELLAR CROWN ULTRA RARE #157 CINDERACE EX PSA 9,SCR EN-STELLAR CROWN ULTRA RARE #157,PSA,9,$14.28,$14.51,alt,,157,,
https://www.phygitals.com/card/2024-pokemon-japanese-sv-generat-y0xw66,2024 Pokemon Japanese SV Generations Start Decks Kyogre ex #37 CGC 10 GEM MINT,Japanese SV Generations Start Decks Kyogre,CGC,10,$14.28,$14.05,alt,,37,,
https://www.phygitals.com/card/FXxucKRwL91cEzn6iRp5hd2yvGqw6Sg7T3seGLfTRWQh,2025 Pokemon Prismatic Evolutions Hyper Rare Teal Mask Ogerpon Ex #177 CGC 8.5,Prismatic Evolutions Hyper Rare Teal Mask,CGC,8.5,$13.85,$11.51,alt,,177,,
https://www.phygitals.com/card/HuiyxRtfwVAybENpfqFqkFKGjyCdhdk2UNf9UiK1vsgj,2024 Pokemon Japanese SV Terastal Fest ex Umbreon ex #93 CGC 9.5 MINT+,Japanese SV Terastal Fest ex Umbreon,CGC,9.5,$14.28,$11.61,alt,,93,,
